step,body,x,y,z
0,Sun,0.1154083791215076,0,0
0,Earth,149599961562.74847,107208000,0
10,Sun,13.964342244339184,0.03639018976944399,0
10,Earth,149595349116.4226,1179275880.092523,0
20,Sun,50.89413796900224,0.254729245333641,0
20,Earth,149583049490.8874,2251283161.3414316,0
30,Sun,110.90290127195806,0.82041575819471,0
30,Earth,149563063317.04117,3323174757.042356,0
40,Sun,193.98755405566266,1.8988305672480175,0
40,Earth,149535391620.05743,4394895586.403508,0
50,Sun,300.14383456235925,3.6553283062954214,0
50,Earth,149500035819.33276,5466390577.360817,0
60,Sun,429.36629759031484,6.25522895286865,0
60,Earth,149456997728.41473,6537604669.392628,0
70,Sun,581.6483147701042,9.863809378785362,0
70,Earth,149406279554.90994,7608482816.333829,0
80,Sun,756.9820749009272,14.646294902860323,0
80,Earth,149347883900.37198,8678969989.189257,0
90,Sun,955.3585843469448,20.76785084619407,0
90,Earth,149281813760.1697,9749011178.946241,0
100,Sun,1176.7676674936129,28.393574090461268,0
100,Earth,149208072523.3347,10818551399.386154,0
110,Sun,1421.1979672639932,37.68848463962092,0
110,Earth,149126663972.3897,11887535689.894815,0
120,Sun,1688.6369456950142,48.81751718547034,0
120,Earth,149037592283.1567,12955909118.271627,0
130,Sun,1979.070884573655,61.945512677464585,0
130,Earth,148940862024.54495,14023616783.537271,0
140,Sun,2292.484886133025,77.23720989722315,0
140,Earth,148836478158.31894,15090603818.739866,0
150,Sun,2628.862873808299,94.85723703814497,0
150,Earth,148724446038.84705,16156815393.75941,0
160,Sun,2988.187593052474,114.97010329055317,0
160,Earth,148604771412.82947,17222196718.110374,0
170,Sun,3370.440612211911,137.74019043279014,0
170,Earth,148477460419.00696,18286693043.74234,0
180,Sun,3775.602323461616,163.331744428684,0
180,Earth,148342519587.8489,19350249667.83848,0
190,Sun,4203.651943800214,191.90886703180615,0
190,Earth,148199955841.22235,20412811935.61182,0
200,Sun,4654.567516104572,223.63550739694034,0
200,Earth,148049776492.0406,21474325243.099056,0
210,Sun,5128.32591024401,258.67545369918315,0
210,Earth,147891989243.892,22534735039.951847,0
220,Sun,5624.902824254072,297.1923247610944,0
220,Earth,147726602190.64917,23593986832.225437,0
230,Sun,6144.27278556975,339.3495616883176,0
230,Earth,147553623816.0583,24652026185.16444,0
240,Sun,6686.409152318167,385.3104195140876,0
240,Earth,147373062993.30835,25708798725.98569,0
250,Sun,7251.284114670592,435.2379588530453,0
250,Earth,147184928984.58112,26764250146.65796,0
260,Sun,7838.868696253773,489.2950375647759,0
260,Earth,146989231440.581,27818326206.678455,0
270,Sun,8449.132755620481,547.644302427488,0
270,Earth,146785980400.04507,28870972735.845913,0
280,Sun,9082.044987779223,610.4481808222519,0
280,Earth,146575186289.23404,29922135637.030235,0
290,Sun,9737.572925783023,677.8688724282104,0
290,Earth,146356859921.40256,30971760888.938435,0
300,Sun,10415.682942377225,750.068340929183,0
300,Earth,146131012496.25085,32019794548.876743,0
310,Sun,11116.340251706204,827.2083057320731,0
310,Earth,145897655599.3561,33066182755.508865,0
320,Sun,11839.508911078934,909.450233697496,0
320,Earth,145656801201.58447,34110871731.610134,0
330,Sun,12585.151822793297,996.9553308830439,0
330,Earth,145408461658.4833,35153807786.81743,0
340,Sun,13353.230736019072,1089.8845342995965,0
340,Earth,145152649709.6544,36194937320.37479,0
350,Sun,14143.706248739481,1188.3985036810946,0
350,Earth,144889378478.107,37234206823.87448,0
360,Sun,14956.537809751253,1292.6576132681892,0
360,Earth,144618661469.59186,38271562883.993576,0
370,Sun,15791.683720723027,1402.8219436061715,0
370,Earth,144340512571.91556,39306952185.22562,0
380,Sun,16649.101138312082,1519.0512733576074,0
380,Earth,144054946054.23563,40340321512.60747,0
390,Sun,17528.746076339205,1641.5050711300723,0
390,Earth,143761976566.33615,41371617754.441124,0
400,Sun,18430.573408021697,1770.3424873194078,0
400,Earth,143461619137.884,42400787905.01036,0
410,Sun,19354.536868264244,1905.7223459689033,0
410,Earth,143153889177.66592,43427779067.29202,0
420,Sun,20300.589056007782,2047.8031366448126,0
420,Earth,142838802472.80624,44452538455.66201,0
430,Sun,21268.681436635987,2196.7430063286133,0
430,Earth,142516375187.9654,45475013398.59551,0
440,Sun,22258.764344439434,2352.6997513264173,0
440,Earth,142186623864.51917,46495151341.36165,0
450,Sun,23270.786985137278,2515.830809195932,0
450,Earth,141849565419.71878,47512899848.712204,0
460,Sun,24304.69743845628,2686.293250691387,0
460,Earth,141505217145.83206,48528206607.56443,0
470,Sun,25360.44266076712,2864.2437717268263,0
470,Earth,141153596709.26538,49541019429.67771,0
480,Sun,26437.968487777824,3049.838685358164,0
480,Earth,140794722149.6665,50551286254.32393,0
490,Sun,27537.219637284183,3243.23391378442,0
490,Earth,140428611879.0087,51558955150.95155,0
500,Sun,28658.13971197708,3444.5849803685205,0
500,Earth,140055284680.65567,52563974321.84308,0
510,Sun,29800.67120230646,3654.047001678081,0
510,Earth,139674759708.40768,53566292104.76593,0
520,Sun,30964.755489401974,3871.7746795465564,0
520,Earth,139287056485.52878,54565856975.6165,0
530,Sun,32150.332848050013,4097.922293155174,0
530,Earth,138892194903.75534,55562617551.057304,0
540,Sun,33357.34244972708,4332.64369113603,0
540,Earth,138490195222.28586,56556522591.14709,0
550,Sun,34585.72236568929,4576.092283696755,0
550,Earth,138081078066.75195,57547521001.963684,0
560,Sun,35835.40957011784,4828.4210347671615,0
560,Earth,137664864428.17056,58535561838.21972,0
570,Sun,37106.33994332041,5089.78245416823,0
570,Earth,137241575661.8779,59520594305.870636,0
580,Sun,38398.44827498823,5360.328589803859,0
580,Earth,136811233486.44469,60502567764.71537,0
590,Sun,39711.66826750861,5640.211019875767,0
590,Earth,136373859982.57278,61481431730.98915,0
600,Sun,41045.93253933296,5929.5808451219345,0
600,Earth,135929477591.97357,62457135879.94852,0
610,Sun,42401.17262839987,6228.588681078966,0
610,Earth,135478109116.22775,63429630048.448425,0
620,Sun,43777.31899561344,6537.384650368789,0
620,Earth,135019777715.627,64398864237.51115,0
630,Sun,45174.301028376234,6856.118375010052,0
630,Earth,134554506907.9972,65364788614.886986,0
640,Sun,46592.04704417718,7184.938968754629,0
640,Earth,134082320567.50354,66327353517.60669,0
650,Sun,48030.4842942338,7523.995029449595,0
650,Earth,133603242923.43745,67286509454.52526,0
660,Sun,49489.53896718887,7873.4346314250815,0
660,Earth,133117298558.98541,68242207108.857285,0
670,Sun,50969.13619286127,8233.405317908393,0
670,Earth,132624512409.97966,69194397340.70334,0
680,Sun,52469.20004605078,8604.054093464727,0
680,Earth,132124909763.63104,70143031189.5678,0
690,Sun,53989.65355039668,8985.527416464965,0
690,Earth,131618516257.24388,71088059876.86726,0
700,Sun,55530.41868228997,9377.971191580818,0
700,Earth,131105357876.91306,72029434808.43031,0
710,Sun,57091.41637483897,9781.530762307757,0
710,Earth,130585460956.2031,72967107576.9876,0
720,Sun,58672.56652188821,10196.350903516115,0
720,Earth,130058852174.80975,73901029964.65279,0
730,Sun,60273.787982090354,10622.57581403072,0
730,Earth,129525558557.20392,74831153945.394,0
740,Sun,61894.9985830308,11060.34910923942,0
740,Earth,128985607471.25777,75757431687.49544,0
750,Sun,63536.115125405115,11509.813813730902,0
750,Earth,128439026626.85345,76679815556.00957,0
760,Sun,65197.05338724879,11971.112353962171,0
760,Earth,127885844074.47452,77598258115.19914,0
770,Sun,66877.72812821917,12444.386550956035,0
770,Earth,127326088203.77957,78512712130.96925,0
780,Sun,68578.05309392953,12929.777613028999,0
780,Earth,126759787742.15903,79423130573.28955,0
790,Sun,70297.9410203348,13427.426128549927,0
790,Earth,126186971753.27425,80329466618.60583,0
800,Sun,72037.30363816896,13937.472058729818,0
800,Earth,125607669635.57965,81231673652.24149,0
810,Sun,73796.05167743372,14460.054730443104,0
810,Earth,125021911120.8279,82129705270.78842,0
820,Sun,75574.09487193843,14995.312829080782,0
820,Earth,124429726272.55766,83023515284.48729,0
830,Sun,77371.34196389094,15543.384391435784,0
830,Earth,123831145484.56476,83913057719.59714,0
840,Sun,79187.70070853898,16104.40679862093,0
840,Earth,123226199479.3563,84798286820.75398,0
850,Sun,81023.07787886215,16678.51676901983,0
850,Earth,122614919306.58792,85679157053.31873,0
860,Sun,82877.37927031424,17265.850351271063,0
860,Earth,121997336341.48438,86555623105.71362,0
870,Sun,84750.50970561527,17866.542917286057,0
870,Earth,121373482283.24365,87427639891.74782,0
880,Sun,86642.37303959354,18480.729155300938,0
880,Earth,120743389153.42409,88295162552.93141,0
890,Sun,88552.87216407713,19108.543062962784,0
890,Earth,120107089294.31526,89158146460.77814,0
900,Sun,90481.90901283477,19750.11794045058,0
900,Earth,119464615367.2927,90016547219.0964,0
910,Sun,92429.38456656564,20405.58638363122,0
910,Earth,118816000351.15558,90870320666.26883,0
